treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "凯瑟里克索姆将军"
new treasuretable "Supplies_Camp_Pack"
new subtable "-1"
object category "I_YuanCuSuiPian",1,0,0,0,0,0,0,0
new treasuretable "奥林"
new treasuretable "GLO_Orin"
new subtable "-1"
object category "I_YuanCuSuiPian",1,0,0,0,0,0,0,0
new treasuretable "戈塔什"
new treasuretable "Gold_Pocket_Wealthy"
new subtable "-1"
object category "I_YuanCuSuiPian",1,0,0,0,0,0,0,0
new treasuretable "安苏"
new treasuretable "WYR_Dragon_Legendary_Trident_Treasure"
new subtable "-1"
object category "I_YuanCuSuiPian",1,0,0,0,0,0,0,0
new treasuretable "沙洛佛克·安基夫"
new treasuretable "LOW_Sarevok_Treasure"
new subtable "-1"
object category "I_YuanCuSuiPian",1,0,0,0,0,0,0,0
new treasuretable "拉斐尔"
new treasuretable "LOW_Legendary_Raphael_Treasure"
new subtable "-1"
object category "I_YuanCuSuiPian",1,0,0,0,0,0,0,0
new treasuretable "钢铁守望者泰坦"
new treasuretable "LOW_SteelwatcherTitan_Legendary_Bow_Treasure"
new subtable "-1"
object category "I_YuanCuSuiPian",1,0,0,0,0,0,0,0
new treasuretable "荒野矮人"
new treasuretable "CHA_Exterior_Bandit_Ranger"
new subtable "-1"
